"target_id","target_label","target_k","target_a","target_b","tau","method","mean_abs_error","sd_abs_error","n_queries","se_abs_error","median_abs_error","rmse","bias"
1,"B1 (4,2)",1,5,2,0.530884444230988,"Matrix-only",0.00974792881598854,0.00811601120188207,100,0.000811601120188207,0.00791814885071778,0.0126583197009858,-0.000888226504829789
1,"B1 (4,2)",1,5,2,0.562341325190349,"Tensor-pooled",0.00324882362231133,0.00242386669689604,100,0.000242386669689604,0.00271922570249085,0.00404613808409533,0.000318324106446722
1,"B1 (4,2)",1,5,2,0.562341325190349,"Matrix-only",0.00974792881598854,0.00811601120188207,100,0.000811601120188207,0.00791814885071778,0.0126583197009858,-0.000888226504829789
1,"B1 (4,2)",1,5,2,0.59566214352901,"Tensor-pooled",0.00324882362231133,0.00242386669689604,100,0.000242386669689604,0.00271922570249085,0.00404613808409533,0.000318324106446722
1,"B1 (4,2)",1,5,2,0.59566214352901,"Matrix-only",0.00974792881598854,0.00811601120188207,100,0.000811601120188207,0.00791814885071778,0.0126583197009858,-0.000888226504829789
1,"B1 (4,2)",1,5,2,0.630957344480193,"Tensor-pooled",0.00324882362231133,0.00242386669689604,100,0.000242386669689604,0.00271922570249085,0.00404613808409533,0.000318324106446722
1,"B1 (4,2)",1,5,2,0.630957344480193,"Matrix-only",0.00974792881598854,0.00811601120188207,100,0.000811601120188207,0.00791814885071778,0.0126583197009858,-0.000888226504829789
1,"B1 (4,2)",1,5,2,0.668343917568615,"Tensor-pooled",0.00326520962694819,0.00243409521655697,100,0.000243409521655697,0.00264392537283183,0.00406536163655191,0.000318503511307044
1,"B1 (4,2)",1,5,2,0.668343917568615,"Matrix-only",0.00974792881598854,0.00811601120188207,100,0.000811601120188207,0.00791814885071778,0.0126583197009858,-0.000888226504829789
1,"B1 (4,2)",1,5,2,0.707945784384138,"Tensor-pooled",0.00338893708184406,0.0027446702290438,100,0.00027446702290438,0.00282917797883884,0.00435233007298792,0.000319654957143724
1,"B1 (4,2)",1,5,2,0.707945784384138,"Matrix-only",0.00970798910142777,0.0082320852294353,100,0.00082320852294353,0.00801262602125303,0.0127017560733105,-0.000822488740534913
1,"B1 (4,2)",1,5,2,0.749894209332456,"Tensor-pooled",0.00376643874791497,0.00326515405692614,100,0.000326515405692614,0.00289036344154954,0.00497400035656431,0.0004428867213182
1,"B1 (4,2)",1,5,2,0.749894209332456,"Matrix-only",0.00979777283638465,0.00836532372332047,100,0.000836532372332047,0.00809135995178352,0.0128559405388865,-0.000679189048125017
1,"B1 (4,2)",1,5,2,0.794328234724281,"Tensor-pooled",0.00439899768986732,0.00398643088909304,100,0.000398643088909304,0.00324897028017727,0.00592316601123402,0.000597454529997122
1,"B1 (4,2)",1,5,2,0.794328234724281,"Matrix-only",0.00990508680493016,0.00860633203420641,100,0.000860633203420641,0.00838408949367635,0.0130934718919536,-0.000478431081057352
1,"B1 (4,2)",1,5,2,0.841395141645195,"Tensor-pooled",0.00513190540277246,0.00479402963464233,100,0.000479402963464233,0.0036476188988268,0.00700637895060321,0.000743375950904142
1,"B1 (4,2)",1,5,2,0.841395141645195,"Matrix-only",0.0100299340637883,0.0089538096812089,100,0.00089538096812089,0.00851565961270599,0.0134152367870708,-0.000279260901431608
1,"B1 (4,2)",1,5,2,0.891250938133746,"Tensor-pooled",0.00597489421382645,0.0055482817971999,100,0.00055482817971999,0.00442830121664326,0.00813479916522498,0.000878559176869172
1,"B1 (4,2)",1,5,2,0.891250938133746,"Matrix-only",0.0103754636444651,0.00926910676385844,100,0.000926910676385844,0.00814389097666378,0.0138819099058965,-0.000106603651859335
1,"B1 (4,2)",1,5,2,0.944060876285924,"Tensor-pooled",0.00687375659107412,0.00628604591293,100,0.000628604591293,0.00540336514878411,0.00929342558804902,0.000985262435787141
1,"B1 (4,2)",1,5,2,0.944060876285924,"Matrix-only",0.0107414501849564,0.00967451178936054,100,0.000967451178936054,0.00767684400937712,0.0144235560336122,5.52087524133879e-05
1,"B1 (4,2)",1,5,2,1,"Tensor-pooled",0.00773275890213732,0.00703231573957838,100,0.000703231573957838,0.00614794536070053,0.0104285420962421,0.0010859968079038
1,"B1 (4,2)",1,5,2,1,"Matrix-only",0.0111646184985431,0.0100978340929075,100,0.00100978340929075,0.00784741916356222,0.0150198301272756,0.000207969512585027
2,"B2 (3,3)",1,4,3,0.316227766016838,"Tensor-pooled",0.00226510097500933,0.00206896059305628,100,0.000206896059305628,0.00152161214756385,0.00306079636422481,0.000311810004818559
2,"B2 (3,3)",1,4,3,0.316227766016838,"Matrix-only",0.0043722344161888,0.00299570665467798,100,0.000299570665467798,0.00395891640766357,0.00529159234705197,-0.00064318802680308
2,"B2 (3,3)",1,4,3,0.334965439157828,"Tensor-pooled",0.00226510097500933,0.00206896059305628,100,0.000206896059305628,0.00152161214756385,0.00306079636422481,0.000311810004818559
2,"B2 (3,3)",1,4,3,0.334965439157828,"Matrix-only",0.0043722344161888,0.00299570665467798,100,0.000299570665467798,0.00395891640766357,0.00529159234705197,-0.00064318802680308
2,"B2 (3,3)",1,4,3,0.354813389233575,"Tensor-pooled",0.00226510097500933,0.00206896059305628,100,0.000206896059305628,0.00152161214756385,0.00306079636422481,0.000311810004818559
2,"B2 (3,3)",1,4,3,0.354813389233575,"Matrix-only",0.0043722344161888,0.00299570665467798,100,0.000299570665467798,0.00395891640766357,0.00529159234705197,-0.00064318802680308
2,"B2 (3,3)",1,4,3,0.375837404288444,"Tensor-pooled",0.00226510097500933,0.00206896059305628,100,0.000206896059305628,0.00152161214756385,0.00306079636422481,0.000311810004818559
2,"B2 (3,3)",1,4,3,0.375837404288444,"Matrix-only",0.0043722344161888,0.00299570665467798,100,0.000299570665467798,0.00395891640766357,0.00529159234705197,-0.00064318802680308
2,"B2 (3,3)",1,4,3,0.398107170553497,"Tensor-pooled",0.00226510097500933,0.00206896059305628,100,0.000206896059305628,0.00152161214756385,0.00306079636422481,0.000311810004818559
2,"B2 (3,3)",1,4,3,0.398107170553497,"Matrix-only",0.0043722344161888,0.00299570665467798,100,0.000299570665467798,0.00395891640766357,0.00529159234705197,-0.00064318802680308
2,"B2 (3,3)",1,4,3,0.421696503428582,"Tensor-pooled",0.00226510097500933,0.00206896059305628,100,0.000206896059305628,0.00152161214756385,0.00306079636422481,0.000311810004818559
2,"B2 (3,3)",1,4,3,0.421696503428582,"Matrix-only",0.0043722344161888,0.00299570665467798,100,0.000299570665467798,0.00395891640766357,0.00529159234705197,-0.00064318802680308
2,"B2 (3,3)",1,4,3,0.446683592150963,"Tensor-pooled",0.00226510097500933,0.00206896059305628,100,0.000206896059305628,0.00152161214756385,0.00306079636422481,0.000311810004818559
2,"B2 (3,3)",1,4,3,0.446683592150963,"Matrix-only",0.0043722344161888,0.00299570665467798,100,0.000299570665467798,0.00395891640766357,0.00529159234705197,-0.00064318802680308
2,"B2 (3,3)",1,4,3,0.47315125896148,"Tensor-pooled",0.00226510097500933,0.00206896059305628,100,0.000206896059305628,0.00152161214756385,0.00306079636422481,0.000311810004818559
2,"B2 (3,3)",1,4,3,0.47315125896148,"Matrix-only",0.0043722344161888,0.00299570665467798,100,0.000299570665467798,0.00395891640766357,0.00529159234705197,-0.00064318802680308
2,"B2 (3,3)",1,4,3,0.501187233627272,"Tensor-pooled",0.00226510097500933,0.00206896059305628,100,0.000206896059305628,0.00152161214756385,0.00306079636422481,0.000311810004818559
2,"B2 (3,3)",1,4,3,0.501187233627272,"Matrix-only",0.0043722344161888,0.00299570665467798,100,0.000299570665467798,0.00395891640766357,0.00529159234705197,-0.00064318802680308
2,"B2 (3,3)",1,4,3,0.530884444230988,"Tensor-pooled",0.00226510097500933,0.00206896059305628,100,0.000206896059305628,0.00152161214756385,0.00306079636422481,0.000311810004818559
2,"B2 (3,3)",1,4,3,0.530884444230988,"Matrix-only",0.0043722344161888,0.00299570665467798,100,0.000299570665467798,0.00395891640766357,0.00529159234705197,-0.00064318802680308
2,"B2 (3,3)",1,4,3,0.562341325190349,"Tensor-pooled",0.00226510097500933,0.00206896059305628,100,0.000206896059305628,0.00152161214756385,0.00306079636422481,0.000311810004818559
2,"B2 (3,3)",1,4,3,0.562341325190349,"Matrix-only",0.0043722344161888,0.00299570665467798,100,0.000299570665467798,0.00395891640766357,0.00529159234705197,-0.00064318802680308
2,"B2 (3,3)",1,4,3,0.59566214352901,"Tensor-pooled",0.00226510097500933,0.00206896059305628,100,0.000206896059305628,0.00152161214756385,0.00306079636422481,0.000311810004818559
2,"B2 (3,3)",1,4,3,0.59566214352901,"Matrix-only",0.0043722344161888,0.00299570665467798,100,0.000299570665467798,0.00395891640766357,0.00529159234705197,-0.00064318802680308
2,"B2 (3,3)",1,4,3,0.630957344480193,"Tensor-pooled",0.00226510097500933,0.00206896059305628,100,0.000206896059305628,0.00152161214756385,0.00306079636422481,0.000311810004818559
2,"B2 (3,3)",1,4,3,0.630957344480193,"Matrix-only",0.0043722344161888,0.00299570665467798,100,0.000299570665467798,0.00395891640766357,0.00529159234705197,-0.00064318802680308
2,"B2 (3,3)",1,4,3,0.668343917568615,"Tensor-pooled",0.00226510097500933,0.00206896059305628,100,0.000206896059305628,0.00152161214756385,0.00306079636422481,0.000311810004818559
2,"B2 (3,3)",1,4,3,0.668343917568615,"Matrix-only",0.0043722344161888,0.00299570665467798,100,0.000299570665467798,0.00395891640766357,0.00529159234705197,-0.00064318802680308
2,"B2 (3,3)",1,4,3,0.707945784384138,"Tensor-pooled",0.00226510097500933,0.00206896059305628,100,0.000206896059305628,0.00152161214756385,0.00306079636422481,0.000311810004818559
2,"B2 (3,3)",1,4,3,0.707945784384138,"Matrix-only",0.0043722344161888,0.00299570665467798,100,0.000299570665467798,0.00395891640766357,0.00529159234705197,-0.00064318802680308
2,"B2 (3,3)",1,4,3,0.749894209332456,"Tensor-pooled",0.00227982486800871,0.0020865038236777,100,0.00020865038236777,0.00167664462877706,0.0030834339060454,0.000294847081970045
2,"B2 (3,3)",1,4,3,0.749894209332456,"Matrix-only",0.00436581941454883,0.00299419721637095,100,0.000299419721637095,0.00391235164944957,0.00528544642970391,-0.000636659561696176
2,"B2 (3,3)",1,4,3,0.794328234724281,"Tensor-pooled",0.00241084030915054,0.00228552895431483,100,0.000228552895431483,0.0018408727381737,0.00331414501360855,0.000270983688544973
2,"B2 (3,3)",1,4,3,0.794328234724281,"Matrix-only",0.00438558517632454,0.00307592021480177,100,0.000307592021480177,0.00379992105661039,0.00534789955542786,-0.000597687867571834
2,"B2 (3,3)",1,4,3,0.841395141645195,"Tensor-pooled",0.00262440652185039,0.00257665261743766,100,0.000257665261743766,0.00199429517640323,0.00366882227912033,0.000275894313277489
2,"B2 (3,3)",1,4,3,0.841395141645195,"Matrix-only",0.0043830597289302,0.00325513403043209,100,0.000325513403043209,0.00372994577625255,0.0054498762525296,-0.000557243172628241
2,"B2 (3,3)",1,4,3,0.891250938133746,"Tensor-pooled",0.00299588275683861,0.00303415571014148,100,0.000303415571014148,0.00216473499242003,0.00425315804519103,0.000279723567861155
2,"B2 (3,3)",1,4,3,0.891250938133746,"Matrix-only",0.00449429332266792,0.0035035028845564,100,0.00035035028845564,0.00364861471116918,0.00568774644368502,-0.000503864000248242
2,"B2 (3,3)",1,4,3,0.944060876285924,"Tensor-pooled",0.00347217096923242,0.00361005184924665,100,0.000361005184924665,0.00241071927176005,0.00499581032969498,0.000259176843188599
2,"B2 (3,3)",1,4,3,0.944060876285924,"Matrix-only",0.0047131212111972,0.00392397806816631,100,0.000392397806816631,0.00363790318539436,0.0061202238024514,-0.000480577523007514
2,"B2 (3,3)",1,4,3,1,"Tensor-pooled",0.004071872113974,0.00419427711455236,100,0.000419427711455236,0.00257395883072126,0.0058306246167182,0.00023977948428942
2,"B2 (3,3)",1,4,3,1,"Matrix-only",0.0050573916443524,0.00442209147254858,100,0.000442209147254858,0.00425074740585265,0.00670347330165761,-0.000458593670898021
3,"B3 (4,3)",1,5,3,0.316227766016838,"Tensor-pooled",0.00290413704098615,0.00242872752323519,100,0.000242872752323519,0.00243522536973266,0.00377806063491928,-0.000760809718481306
3,"B3 (4,3)",1,5,3,0.316227766016838,"Matrix-only",0.0073287104625116,0.0065677595932863,100,0.00065677595932863,0.00544753367113875,0.00981906861457742,-0.00144570693532223
3,"B3 (4,3)",1,5,3,0.334965439157828,"Tensor-pooled",0.00290413704098615,0.00242872752323519,100,0.000242872752323519,0.00243522536973266,0.00377806063491928,-0.000760809718481306
3,"B3 (4,3)",1,5,3,0.334965439157828,"Matrix-only",0.0073287104625116,0.0065677595932863,100,0.00065677595932863,0.00544753367113875,0.00981906861457742,-0.00144570693532223
3,"B3 (4,3)",1,5,3,0.354813389233575,"Tensor-pooled",0.00290413704098615,0.00242872752323519,100,0.000242872752323519,0.00243522536973266,0.00377806063491928,-0.000760809718481306
3,"B3 (4,3)",1,5,3,0.354813389233575,"Matrix-only",0.0073287104625116,0.0065677595932863,100,0.00065677595932863,0.00544753367113875,0.00981906861457742,-0.00144570693532223
3,"B3 (4,3)",1,5,3,0.375837404288444,"Tensor-pooled",0.00290413704098615,0.00242872752323519,100,0.000242872752323519,0.00243522536973266,0.00377806063491928,-0.000760809718481306
3,"B3 (4,3)",1,5,3,0.375837404288444,"Matrix-only",0.0073287104625116,0.0065677595932863,100,0.00065677595932863,0.00544753367113875,0.00981906861457742,-0.00144570693532223
3,"B3 (4,3)",1,5,3,0.398107170553497,"Tensor-pooled",0.00290413704098615,0.00242872752323519,100,0.000242872752323519,0.00243522536973266,0.00377806063491928,-0.000760809718481306
3,"B3 (4,3)",1,5,3,0.398107170553497,"Matrix-only",0.0073287104625116,0.0065677595932863,100,0.00065677595932863,0.00544753367113875,0.00981906861457742,-0.00144570693532223
3,"B3 (4,3)",1,5,3,0.421696503428582,"Tensor-pooled",0.00290413704098615,0.00242872752323519,100,0.000242872752323519,0.00243522536973266,0.00377806063491928,-0.000760809718481306
3,"B3 (4,3)",1,5,3,0.421696503428582,"Matrix-only",0.0073287104625116,0.0065677595932863,100,0.00065677595932863,0.00544753367113875,0.00981906861457742,-0.00144570693532223
3,"B3 (4,3)",1,5,3,0.446683592150963,"Tensor-pooled",0.00290413704098615,0.00242872752323519,100,0.000242872752323519,0.00243522536973266,0.00377806063491928,-0.000760809718481306
3,"B3 (4,3)",1,5,3,0.446683592150963,"Matrix-only",0.0073287104625116,0.0065677595932863,100,0.00065677595932863,0.00544753367113875,0.00981906861457742,-0.00144570693532223
3,"B3 (4,3)",1,5,3,0.47315125896148,"Tensor-pooled",0.00290413704098615,0.00242872752323519,100,0.000242872752323519,0.00243522536973266,0.00377806063491928,-0.000760809718481306
3,"B3 (4,3)",1,5,3,0.47315125896148,"Matrix-only",0.0073287104625116,0.0065677595932863,100,0.00065677595932863,0.00544753367113875,0.00981906861457742,-0.00144570693532223
3,"B3 (4,3)",1,5,3,0.501187233627272,"Tensor-pooled",0.00290413704098615,0.00242872752323519,100,0.000242872752323519,0.00243522536973266,0.00377806063491928,-0.000760809718481306
3,"B3 (4,3)",1,5,3,0.501187233627272,"Matrix-only",0.0073287104625116,0.0065677595932863,100,0.00065677595932863,0.00544753367113875,0.00981906861457742,-0.00144570693532223
3,"B3 (4,3)",1,5,3,0.530884444230988,"Tensor-pooled",0.00306812004933352,0.00248704023610146,100,0.000248704023610146,0.00249502156534981,0.00394168442188743,-0.00091001444953558
3,"B3 (4,3)",1,5,3,0.530884444230988,"Matrix-only",0.00739471353278894,0.00657754251911091,100,0.000657754251911091,0.0057162591779234,0.00987487788110904,-0.0015141235907409
3,"B3 (4,3)",1,5,3,0.562341325190349,"Tensor-pooled",0.00343145729322671,0.00270734155965106,100,0.000270734155965106,0.00277650569552548,0.00436248787879651,-0.00105472621732618
3,"B3 (4,3)",1,5,3,0.562341325190349,"Matrix-only",0.00761924090027682,0.00661542531824778,100,0.000661542531824778,0.00587562242204051,0.0100687161801469,-0.00163906983974671
3,"B3 (4,3)",1,5,3,0.59566214352901,"Tensor-pooled",0.00390892553214989,0.00309145066469063,100,0.000309145066469063,0.00311604538022841,0.00497405220680154,-0.00118228717965789
3,"B3 (4,3)",1,5,3,0.59566214352901,"Matrix-only",0.00798296894489692,0.00667427630224405,100,0.000667427630224405,0.0055718537593548,0.0103840405282481,-0.00174160295844806
3,"B3 (4,3)",1,5,3,0.630957344480193,"Tensor-pooled",0.00453456506677572,0.00358756834573597,100,0.000358756834573597,0.00360780786673369,0.00577098089702229,-0.00130790858102803
3,"B3 (4,3)",1,5,3,0.630957344480193,"Matrix-only",0.00841175732904513,0.00685736850278025,100,0.000685736850278025,0.00597095409697244,0.0108310169937009,-0.00182527961741635
3,"B3 (4,3)",1,5,3,0.668343917568615,"Tensor-pooled",0.00524160220885082,0.00414398679643987,100,0.000414398679643987,0.00396014846189229,0.00666897998341629,-0.00142967642777384
3,"B3 (4,3)",1,5,3,0.668343917568615,"Matrix-only",0.00888059680917915,0.00712447064403279,100,0.000712447064403279,0.00663323670377619,0.0113629001942863,-0.00193804829798643
3,"B3 (4,3)",1,5,3,0.707945784384138,"Tensor-pooled",0.00595201886422437,0.00476198727634305,100,0.000476198727634305,0.00477625618686264,0.00760764655803195,-0.00154463268787613
