estimand_type	estimand	design_id	design	functional	local_state	method	quantity	point_estimate	ci_low	ci_high	estimate_ci	boot_se	n_boot_nonmissing	ci_type
Delta	Delta: Robbery rate, log	nonmasked_original	Non-masked	Local-Texas	NA	Tensor	Delta_h	-0.019714	-0.233302	0.193874	-0.0197 [-0.2333, 0.1939]	0.108974	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	nonmasked_original	Non-masked	Local-Texas	NA	Matrix	Delta_h_matrix	0.035559	-0.14592	0.217038	0.0356 [-0.1459, 0.2170]	0.092591	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	nonmasked_original	Non-masked	RowHet	NA	Tensor	Delta_h	-0.017075	-0.084407	0.050257	-0.0171 [-0.0844, 0.0503]	0.034353	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	nonmasked_original	Non-masked	RowHet	NA	Matrix	Delta_h_matrix	0.03474	-0.024381	0.093861	0.0347 [-0.0244, 0.0939]	0.030164	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	nonmasked_original	Non-masked	Trend	NA	Tensor	Delta_h	-0.135938	-0.216521	-0.055355	-0.1359 [-0.2165, -0.0554]	0.041114	500	bootstrap_se_centered
Delta	Delta: Robbery rate, log	nonmasked_original	Non-masked	Trend	NA	Matrix	Delta_h_matrix	-0.109753	-0.206899	-0.012607	-0.1098 [-0.2069, -0.0126]	0.049564	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	ATE	NA	Tensor	Delta_h	-0.103207	-0.362412	0.155998	-0.1032 [-0.3624, 0.1560]	0.132247	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	ATE	NA	Matrix	Delta_h_matrix	-0.027649	-1.367692	1.312394	-0.0276 [-1.3677, 1.3124]	0.683695	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Florida	NA	Tensor	Delta_h	0.004846	-0.699892	0.709584	0.0048 [-0.6999, 0.7096]	0.35956	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Florida	NA	Matrix	Delta_h_matrix	-0.151695	-2.910774	2.607384	-0.1517 [-2.9108, 2.6074]	1.407693	500	bootstrap_se_centered
Delta	Delta: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Montana	NA	Tensor	Delta_h	-0.444913	-1.440988	0.551162	-0.4449 [-1.4410, 0.5512]	0.508201	500	bootstrap_se_centered
