estimand_type	estimand	design_id	design	functional	local_state	Tensor_point_estimate	Matrix_point_estimate	Tensor_ci_low	Matrix_ci_low	Tensor_ci_high	Matrix_ci_high	Tensor_estimate_ci	Matrix_estimate_ci	Tensor_boot_se	Matrix_boot_se	Tensor_n_boot_nonmissing	Matrix_n_boot_nonmissing
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	ATE	NA	-1.012009	-1.012009	-1.208302	-1.208302	-0.815716	-0.815716	-1.0120 [-1.2083, -0.8157]	-1.0120 [-1.2083, -0.8157]	0.10015	0.10015	500	500
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Florida	NA	-0.949181	-0.949181	-2.203368	-2.203368	0.305006	0.305006	-0.9492 [-2.2034, 0.3050]	-0.9492 [-2.2034, 0.3050]	0.639891	0.639891	500	500
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Montana	NA	-2.421155	-2.421155	-3.738237	-3.738237	-1.104073	-1.104073	-2.4212 [-3.7382, -1.1041]	-2.4212 [-3.7382, -1.1041]	0.671981	0.671981	500	500
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Texas	NA	-0.711888	-0.711888	-1.946904	-1.946904	0.523128	0.523128	-0.7119 [-1.9469, 0.5231]	-0.7119 [-1.9469, 0.5231]	0.63011	0.63011	500	500
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	RowHet	NA	-0.497262	-0.497262	-0.696898	-0.696898	-0.297626	-0.297626	-0.4973 [-0.6969, -0.2976]	-0.4973 [-0.6969, -0.2976]	0.101855	0.101855	500	500
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Trend	NA	-0.005864	-0.005864	-0.014774	-0.014774	0.003046	0.003046	-0.0059 [-0.0148, 0.0030]	-0.0059 [-0.0148, 0.0030]	0.004546	0.004546	500	500
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	ATE	NA	-1.048	-1.048	-1.272846	-1.272846	-0.823154	-0.823154	-1.0480 [-1.2728, -0.8232]	-1.0480 [-1.2728, -0.8232]	0.114717	0.114717	500	500
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Florida	NA	-0.949181	-0.949181	-2.234047	-2.234047	0.335685	0.335685	-0.9492 [-2.2340, 0.3357]	-0.9492 [-2.2340, 0.3357]	0.655544	0.655544	500	500
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Montana	NA	-2.421155	-2.421155	-3.718807	-3.718807	-1.123503	-1.123503	-2.4212 [-3.7188, -1.1235]	-2.4212 [-3.7188, -1.1235]	0.662067	0.662067	500	500
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Texas	NA	-0.711888	-0.711888	-2.020131	-2.020131	0.596355	0.596355	-0.7119 [-2.0201, 0.5964]	-0.7119 [-2.0201, 0.5964]	0.667471	0.667471	500	500
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	RowHet	NA	-0.58234	-0.58234	-0.79865	-0.79865	-0.36603	-0.36603	-0.5823 [-0.7987, -0.3660]	-0.5823 [-0.7987, -0.3660]	0.110362	0.110362	500	500
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Trend	NA	-0.004608	-0.004608	-0.014091	-0.014091	0.004875	0.004875	-0.0046 [-0.0141, 0.0049]	-0.0046 [-0.0141, 0.0049]	0.004838	0.004838	500	500
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	ATE	NA	-1.106999	-1.106999	-1.401895	-1.401895	-0.812103	-0.812103	-1.1070 [-1.4019, -0.8121]	-1.1070 [-1.4019, -0.8121]	0.150457	0.150457	500	500
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Florida	NA	-0.924118	-0.924118	-2.25415	-2.25415	0.405914	0.405914	-0.9241 [-2.2542, 0.4059]	-0.9241 [-2.2542, 0.4059]	0.678588	0.678588	500	500
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Montana	NA	-2.446574	-2.446574	-3.788389	-3.788389	-1.104759	-1.104759	-2.4466 [-3.7884, -1.1048]	-2.4466 [-3.7884, -1.1048]	0.684599	0.684599	500	500
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Texas	NA	-0.697124	-0.697124	-2.096036	-2.096036	0.701788	0.701788	-0.6971 [-2.0960, 0.7018]	-0.6971 [-2.0960, 0.7018]	0.713731	0.713731	500	500
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	RowHet	NA	-1.005981	-1.005981	-1.303677	-1.303677	-0.708285	-0.708285	-1.0060 [-1.3037, -0.7083]	-1.0060 [-1.3037, -0.7083]	0.151886	0.151886	500	500
Psi1	Contrast Psi1: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	Trend	NA	-0.1523	-0.1523	-0.218079	-0.218079	-0.086521	-0.086521	-0.1523 [-0.2181, -0.0865]	-0.1523 [-0.2181, -0.0865]	0.033561	0.033561	500	500
