estimand_type	estimand	design_id	design	functional	local_state	Tensor_point_estimate	Matrix_point_estimate	Tensor_ci_low	Matrix_ci_low	Tensor_ci_high	Matrix_ci_high	Tensor_estimate_ci	Matrix_estimate_ci	Tensor_boot_se	Matrix_boot_se	Tensor_n_boot_nonmissing	Matrix_n_boot_nonmissing
Delta	Delta: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Montana	NA	-0.106502	-0.387739	-0.515075	-1.3781080000000001	0.302071	0.60263	-0.1065 [-0.5151, 0.3021]	-0.3877 [-1.3781, 0.6026]	0.208455	0.50529	500	500
Delta	Delta: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Texas	NA	-0.076644	-0.177156	-0.443569	-0.898305	0.290281	0.543993	-0.0766 [-0.4436, 0.2903]	-0.1772 [-0.8983, 0.5440]	0.187206	0.367933	500	500
Delta	Delta: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	RowHet	NA	-0.017685	0.001702	-0.10129	-0.154987	0.06592	0.158391	-0.0177 [-0.1013, 0.0659]	0.0017 [-0.1550, 0.1584]	0.042656	0.079943	500	500
Delta	Delta: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Trend	NA	0.010947	0.007823	-0.006371	-0.011734	0.028265	0.02738	0.0109 [-0.0064, 0.0283]	0.0078 [-0.0117, 0.0274]	0.008836	0.009978	500	500
Delta	Delta: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	ATE	NA	-0.045648	0.012329	-0.165345	-0.090763	0.074049	0.115421	-0.0456 [-0.1653, 0.0740]	0.0123 [-0.0908, 0.1154]	0.06107	0.052598	500	500
Delta	Delta: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Florida	NA	0.03076	-0.110974	-0.285776	-0.495348	0.347296	0.2734	0.0308 [-0.2858, 0.3473]	-0.1110 [-0.4953, 0.2734]	0.161498	0.196109	500	500
Delta	Delta: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Montana	NA	-0.07885	-0.201027	-0.496549	-0.6531	0.338849	0.251046	-0.0789 [-0.4965, 0.3388]	-0.2010 [-0.6531, 0.2510]	0.213112	0.23065	500	500
Delta	Delta: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Texas	NA	-0.054256	-0.124523	-0.452738	-0.580978	0.344226	0.331932	-0.0543 [-0.4527, 0.3442]	-0.1245 [-0.5810, 0.3319]	0.203307	0.232885	500	500
Delta	Delta: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	RowHet	NA	-0.007061	0.008188	-0.093551	-0.070722	0.079429	0.087098	-0.0071 [-0.0936, 0.0794]	0.0082 [-0.0707, 0.0871]	0.044128	0.04026	500	500
Delta	Delta: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Trend	NA	0.009482	0.00842	-0.009197	-0.009812	0.028161	0.026652	0.0095 [-0.0092, 0.0282]	0.0084 [-0.0098, 0.0267]	0.00953	0.009302	500	500
Delta	Delta: Aggravated assault rate, log	nonmasked_original	Non-masked	ATE	NA	0.046107	0.049613	-0.080907	-0.041885	0.173121	0.141111	0.0461 [-0.0809, 0.1731]	0.0496 [-0.0419, 0.1411]	0.064803	0.046683	500	500
Delta	Delta: Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Florida	NA	-0.009066	-0.069692	-0.478483	-0.485577	0.460351	0.346193	-0.0091 [-0.4785, 0.4604]	-0.0697 [-0.4856, 0.3462]	0.239498	0.212186	500	500
Delta	Delta: Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Montana	NA	-0.127443	-0.294649	-0.631732	-0.594536	0.376846	0.005238	-0.1274 [-0.6317, 0.3768]	-0.2946 [-0.5945, 0.0052]	0.25729	0.153004	500	500
Delta	Delta: Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Texas	NA	-0.031135	-0.026604	-0.509265	-0.289997	0.446995	0.236789	-0.0311 [-0.5093, 0.4470]	-0.0266 [-0.2900, 0.2368]	0.243944	0.134384	500	500
Delta	Delta: Aggravated assault rate, log	nonmasked_original	Non-masked	RowHet	NA	0.052147	0.052371	-0.073813	-0.040308	0.178107	0.14505	0.0521 [-0.0738, 0.1781]	0.0524 [-0.0403, 0.1451]	0.064265	0.047285	500	500
Delta	Delta: Aggravated assault rate, log	nonmasked_original	Non-masked	Trend	NA	0.023996	-0.01086	-0.039431	-0.078011	0.087423	0.056291	0.0240 [-0.0394, 0.0874]	-0.0109 [-0.0780, 0.0563]	0.032361	0.034261	500	500
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	ATE	NA	-0.116531	-0.030498	-0.429326	-1.493485	0.196264	1.432489	-0.1165 [-0.4293, 0.1963]	-0.0305 [-1.4935, 1.4325]	0.159589	0.746422	500	500
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Florida	NA	-0.018197	0.006308	-0.895328	-2.916333	0.858934	2.928949	-0.0182 [-0.8953, 0.8589]	0.0063 [-2.9163, 2.9289]	0.447516	1.491144	500	500
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Montana	NA	-0.635895	0.079041	-1.794224	-3.437372	0.522434	3.595454	-0.6359 [-1.7942, 0.5224]	0.0790 [-3.4374, 3.5955]	0.590984	1.794088	500	500
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Texas	NA	0.082278	0.152435	-0.824929	-3.225368	0.989485	3.530238	0.0823 [-0.8249, 0.9895]	0.1524 [-3.2254, 3.5302]	0.462861	1.723369	500	500
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	RowHet	NA	-0.066326	0.008099	-0.216768	-0.584032	0.084116	0.60023	-0.0663 [-0.2168, 0.0841]	0.0081 [-0.5840, 0.6002]	0.076756	0.302108	500	500
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Trend	NA	-0.004457	-0.009206	-0.033393	-0.041027	0.024479	0.022615	-0.0045 [-0.0334, 0.0245]	-0.0092 [-0.0410, 0.0226]	0.014763	0.016235	500	500
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	ATE	NA	-0.088602	-0.024513	-0.236747	-0.433947	0.059543	0.384921	-0.0886 [-0.2367, 0.0595]	-0.0245 [-0.4339, 0.3849]	0.075584	0.208895	500	500
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Florida	NA	-0.021132	0.026483	-0.446832	-1.003834	0.404568	1.0568	-0.0211 [-0.4468, 0.4046]	0.0265 [-1.0038, 1.0568]	0.217194	0.525672	500	500
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Montana	NA	-0.33443	0.157152	-0.756438	-1.0019149999999999	0.087578	1.316219	-0.3344 [-0.7564, 0.0876]	0.1572 [-1.0019, 1.3162]	0.21531	0.591361	500	500
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Texas	NA	0.002175	0.153391	-0.40883	-0.74084	0.41318	1.047622	0.0022 [-0.4088, 0.4132]	0.1534 [-0.7408, 1.0476]	0.209697	0.45624	500	500
