setting,target_outcome,target_policy,target_k,r,functional,n_staircase_blocks,N_parts,T_parts,Psi0,Psi1,Delta_h,Psi0_matrix,Delta_h_matrix,tensor_minus_matrix,bootstrap_id,bootstrap_type,bootstrap_error
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,Trend,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",-0.021783498292013568,9.807256235827666e-4,0.022764223915596335,-0.013561422435600334,0.0145421480591831,-0.008222075856413234,19,target_layer_only_fixed_anchors,NA
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,ATE,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",2.6404346731032016,1.2441577060931897,-1.396276967010012,1.5873000676307667,-0.34314236153757705,1.0531346054724349,20,target_layer_only_fixed_anchors,NA
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,Trend,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",-0.002987397148256938,-0.09401360544217686,-0.09102620829391993,-0.08090652110897419,-0.013107084333202679,0.07791912396071725,20,target_layer_only_fixed_anchors,NA
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,ATE,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",1.2211418268728127,1.6239426523297493,0.40280082545693663,0.8953193039512309,0.7286233483785184,0.32582252292158176,21,target_layer_only_fixed_anchors,NA
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,Trend,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",-0.05112830308105751,-0.019433106575963727,0.03169519650509378,-0.2704427817442469,0.2510096751682832,0.2193144786631894,21,target_layer_only_fixed_anchors,NA
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,ATE,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",1.0801037808726186,0.4241935483870967,-0.6559102324855219,0.6812158044155457,-0.257022256028449,0.39888797645707286,22,target_layer_only_fixed_anchors,NA
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,Trend,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",0.020423098604174177,0.0053798185941043054,-0.015043280010069871,0.16265403127466427,-0.15727421268055997,-0.14223093267049008,22,target_layer_only_fixed_anchors,NA
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,ATE,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",1.7421833396262363,1.3975627240143367,-0.3446206156118996,1.1722247747536225,0.22533794926071415,0.5699585648726138,23,target_layer_only_fixed_anchors,NA
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,Trend,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",-0.02444064152127973,-0.03281746031746036,-0.008376818796180633,-0.011123639913384048,-0.021693820404076317,-0.013317001607895682,23,target_layer_only_fixed_anchors,NA
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,ATE,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",1.586333921230843,3.5578494623655916,1.9715155411347487,1.7697621988411567,1.788087263524435,-0.18342827761031377,24,target_layer_only_fixed_anchors,NA
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,Trend,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",-0.0608289025340708,-0.15437641723356008,-0.09354751469948927,-0.04368983029004376,-0.11068658694351632,-0.01713907224402704,24,target_layer_only_fixed_anchors,NA
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,ATE,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",0.5290143240052061,0.9479928315412185,0.4189785075360124,0.2711417941544131,0.6768510373868054,0.257872529850793,25,target_layer_only_fixed_anchors,NA
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,Trend,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",-0.03028178797195485,-0.0097392290249433,0.02054255894701155,-0.012455231117615193,0.002716002092671893,-0.01782655685433966,25,target_layer_only_fixed_anchors,NA
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,ATE,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",0.953130146026231,0.4720430107526881,-0.4810871352735429,0.34118051246061304,0.13086249829207508,0.611949633565618,26,target_layer_only_fixed_anchors,NA
plotY_slice,new_deaths_smoothed_per_million,C6_stay_at_home_requirements,1,3,Trend,12,"2,1,1,1,2,1,1,1,1,3,1,3","8,2,1,1,1,2,3,1,1,4,2,6",-0.03971004192214033,1.7006802721091118e-5,0.03972704872486142,-0.002516356933509962,0.002533363736231053,-0.03719368498863037,26,target_layer_only_fixed_anchors,NA
